structure,method,design,conserved_contacts,total_contacts,missing_contacts,contact_conservation_rate,contact_conservation_pct
9NFU,ensemble,1,7,14,0,0.5,50.0
9NFU,ensemble,2,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,3,7,14,0,0.5,50.0
9NFU,ensemble,4,7,14,0,0.5,50.0
9NFU,ensemble,5,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,6,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,7,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,8,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,9,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,10,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,11,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,12,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,13,7,14,0,0.5,50.0
9NFU,ensemble,14,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,15,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,16,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,17,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,18,7,14,0,0.5,50.0
9NFU,ensemble,19,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,20,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,21,4,14,0,0.2857142857142857,28.57142857142857
9NFU,ensemble,22,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,23,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,24,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,25,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,26,7,14,0,0.5,50.0
9NFU,ensemble,27,7,14,0,0.5,50.0
9NFU,ensemble,28,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,29,7,14,0,0.5,50.0
9NFU,ensemble,30,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,31,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,32,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,33,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,34,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,35,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,36,4,14,0,0.2857142857142857,28.57142857142857
9NFU,ensemble,37,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,38,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,39,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,40,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,41,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,42,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,43,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,44,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,45,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,46,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,47,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,48,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,49,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,50,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,51,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,52,7,14,0,0.5,50.0
9NFU,ensemble,53,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,54,7,14,0,0.5,50.0
9NFU,ensemble,55,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,56,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,57,7,14,0,0.5,50.0
9NFU,ensemble,58,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,59,7,14,0,0.5,50.0
9NFU,ensemble,60,7,14,0,0.5,50.0
9NFU,ensemble,61,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,62,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,63,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,64,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,65,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,66,4,14,0,0.2857142857142857,28.57142857142857
9NFU,ensemble,67,7,14,0,0.5,50.0
9NFU,ensemble,68,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,69,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,70,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,71,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,72,7,14,0,0.5,50.0
9NFU,ensemble,73,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,74,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,75,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,76,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,77,8,14,0,0.5714285714285714,57.14285714285714
9NFU,ensemble,78,6,14,0,0.42857142857142855,42.857142857142854
9NFU,ensemble,79,4,14,0,0.2857142857142857,28.57142857142857
9NFU,ensemble,80,5,14,0,0.35714285714285715,35.714285714285715
9NFU,ensemble,81,6,14,0,0.42857142857142855,42.857142857142854
