structure,method,design,conserved_contacts,total_contacts,contact_conservation_rate,contact_conservation_pct
9NFU,ProteinMPNN_baseline,1,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,2,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,3,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,4,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,5,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,6,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,7,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,8,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,9,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,10,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,11,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,12,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,13,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,14,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,15,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,16,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,17,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,18,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,19,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,20,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,21,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,22,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,23,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,24,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,25,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,26,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,27,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,28,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,29,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,30,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,31,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,32,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,33,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,34,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,35,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,36,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,37,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,38,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,39,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,40,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,41,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,42,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,43,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,44,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,45,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,46,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,47,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,48,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,49,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,50,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,51,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,52,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,53,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,54,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,55,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,56,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,57,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,58,11,14,0.7857142857142857,78.57142857142857
9NFU,ProteinMPNN_baseline,59,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,60,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,61,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,62,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,63,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,64,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,65,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,66,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,67,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,68,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,69,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,70,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,71,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,72,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,73,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,74,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,75,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,76,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,77,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,78,8,14,0.5714285714285714,57.14285714285714
9NFU,ProteinMPNN_baseline,79,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,80,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,81,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,82,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,83,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,84,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,85,10,14,0.7142857142857143,71.42857142857143
9NFU,ProteinMPNN_baseline,86,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,87,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,88,9,14,0.6428571428571429,64.28571428571429
9NFU,ProteinMPNN_baseline,89,11,14,0.7857142857142857,78.57142857142857
